# N2O/HTPB equilibrium combustion properties for the chamber.
# Generated by scripts/generate_thermochemistry_table.py -- do not edit by hand.
#
# Solver     : NASA CEA via rocketcea (Gordon & McBride, NASA RP-1311).
# Oxidizer   : oxid NitrousOxide  N 2.0 O 1.0  wt%=100.00 h,cal= 19467.0 t(k)=298.15
# Fuel       : fuel R-45(HTPB FROM_RPL_DATA) C 7.3165 H 10.3360 O 0.1063    wt%=100.00 h,cal= 1200.0 t(k)=298.15 rho=0.9220
# Assumption : equilibrium composition; chamber (stagnation) properties.
# O/F        : oxidizer mass flow / fuel mass flow.
# c*         : IDEAL equilibrium characteristic velocity. A combustion
#              efficiency is applied downstream and is NOT included here.
# gamma      : CEA chamber GAMMAs (isentropic exponent).
# molar mass : effective_molar_mass is CEA's M,(1/n), the total mixture mass
#              per mole of gas -- the quantity that reproduces CEA's own sound
#              speed when a condensed phase is present. gas_molar_mass is the
#              gas-phase MW, kept only as a diagnostic; their ratio flags soot.
# Units      : O/F [-], pressure [Pa], c* [m/s], gamma [-], T [K],
#              molar mass [kg/mol], R [J/(kg K)].
# NOT experimentally validated. Generic reduced-order educational study.
of,chamber_pressure_pa,ideal_cstar_m_s,gamma,chamber_temperature_k,effective_molar_mass_kg_mol,gas_molar_mass_kg_mol,specific_gas_constant_j_kg_k
1.2,1000000.0,1222.075439217554,1.2241116728878572,1582.054584633547,0.020622375750130702,0.014553822173079538,403.1767590088307
1.2,1250000.0,1222.8823147506803,1.2231725587724676,1584.9000463237476,0.020648243411723693,0.014572877024863533,402.6716681032151
1.2,1500000.0,1223.6291769430497,1.2222949697744947,1587.633746656835,0.02067319840011379,0.014591290984756864,402.18559591409115
1.2,1750000.0,1224.3242586148097,1.2214723975250081,1590.2653878091164,0.020697314412007034,0.01460911366831738,401.716978951461
1.2,2000000.0,1224.9742446503137,1.2206985882489911,1592.8032074924538,0.02072065688533375,0.014626390353173,401.26443210808844
1.2,2250000.0,1225.5845035466364,1.2199685008506138,1595.2544243513707,0.020743281867621952,0.01464315894469367,400.82676748359614
1.2,2500000.0,1226.1596490311563,1.2192776066970306,1597.625391390702,0.020765240181987474,0.014659454584558267,400.40291107310514
1.2,2750000.0,1226.7034254059392,1.2186220303906414,1599.9217918599402,0.020786577551134933,0.014675308496381257,399.9918985001952
1.2,3000000.0,1227.219028702855,1.2179984330956972,1602.1485773476495,0.02080733318464333,0.014690748252337571,399.5929004557113
1.2,3250000.0,1227.7091160988382,1.217403631175873,1604.310202915993,0.020827543584425484,0.014705799073588245,399.20514794732816
1.2,3500000.0,1228.1761143670838,1.2168356387950288,1606.4108822180922,0.020847241051704945,0.01472048289334848,398.8279598906456
