# Equilibrium vs frozen nozzle expansion, N2O/HTPB.
# Generated by scripts/generate_thermochemistry_table.py -- do not edit by hand.
#
# Solver     : NASA CEA via rocketcea (Gordon & McBride, NASA RP-1311).
# Condition  : p_c = 25.0 bar, eps = 4.0.
#
# Vacuum Isp is quoted because it isolates the expansion assumption from
# any ambient-pressure bookkeeping.  CEA's frozen option fails to converge
# over O/F 2.10 to 3.00, where condensed carbon is present; those rows carry
# vacuum_isp_frozen_s = 0 and frozen_converged = 0.  They are kept rather
# than dropped so the gap is visible in the committed data.
#
of,chamber_pressure_pa,expansion_ratio,vacuum_isp_equilibrium_s,vacuum_isp_frozen_s,frozen_converged
1.200000,2500000.000000,4.000000,201.445310,198.619786,1
1.300000,2500000.000000,4.000000,204.113709,201.560380,1
1.400000,2500000.000000,4.000000,206.648047,204.323436,1
1.500000,2500000.000000,4.000000,209.053480,206.907049,1
1.600000,2500000.000000,4.000000,211.335622,209.315606,1
1.700000,2500000.000000,4.000000,213.498728,211.557236,1
1.800000,2500000.000000,4.000000,215.549674,213.641968,1
1.900000,2500000.000000,4.000000,217.494549,215.580564,1
2.000000,2500000.000000,4.000000,219.339459,217.383827,1
2.100000,2500000.000000,4.000000,221.090402,0.000000,0
2.200000,2500000.000000,4.000000,222.751577,0.000000,0
2.300000,2500000.000000,4.000000,224.330784,0.000000,0
2.400000,2500000.000000,4.000000,225.832404,0.000000,0
2.500000,2500000.000000,4.000000,227.261378,0.000000,0
2.600000,2500000.000000,4.000000,228.622340,0.000000,0
2.700000,2500000.000000,4.000000,229.919617,0.000000,0
2.800000,2500000.000000,4.000000,231.157240,0.000000,0
2.900000,2500000.000000,4.000000,232.338961,0.000000,0
3.000000,2500000.000000,4.000000,233.468262,0.000000,0
3.100000,2500000.000000,4.000000,234.549354,232.724657,1
3.200000,2500000.000000,4.000000,236.270017,235.582224,1
3.300000,2500000.000000,4.000000,238.488965,237.747739,1
3.400000,2500000.000000,4.000000,240.635066,239.705894,1
3.500000,2500000.000000,4.000000,242.627786,241.494389,1
3.600000,2500000.000000,4.000000,244.476299,243.129187,1
3.700000,2500000.000000,4.000000,246.193642,244.623237,1
3.800000,2500000.000000,4.000000,247.791764,245.987652,1
3.900000,2500000.000000,4.000000,249.281123,247.232038,1
4.000000,2500000.000000,4.000000,250.670835,248.364677,1
